year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
2091,119.86,129.336,298.45,739.564,388.819,501.554,116.235,510.212
2092,118.956,128.543,298.084,743.805,387.362,500.452,115.286,507.094
2093,118.051,127.749,297.717,748.046,385.906,499.35,114.337,503.975
2094,117.147,126.956,297.351,752.287,384.449,498.248,113.388,500.857
2095,116.243,126.163,296.985,756.528,382.992,497.145,112.439,497.738
2096,115.338,125.369,296.618,760.769,381.536,496.043,111.49,494.62
2097,114.434,124.576,296.252,765.009,380.079,494.941,110.541,491.501
2098,113.53,123.782,295.886,769.25,378.623,493.839,109.592,488.383
2099,112.626,122.989,295.519,773.491,377.166,492.737,108.643,485.264
2100,111.721,122.195,295.153,777.732,375.709,491.635,107.694,482.145
2101,111.423,121.842,293.999,775.222,375.023,490.495,107.528,480.038
2102,111.124,121.488,292.846,772.712,374.337,489.355,107.361,477.931
2103,110.826,121.135,291.692,770.201,373.65,488.215,107.194,475.824
2104,110.527,120.781,290.538,767.691,372.964,487.075,107.028,473.717
2105,110.229,120.428,289.385,765.181,372.277,485.935,106.861,471.61
2106,109.93,120.074,288.231,762.671,371.591,484.795,106.694,469.503
